,Boat,Ranking,Team,Score,Date
7,3V,8,Navy,7.33,"May 3, 2017"
8,3V,9,Wisconsin,8.07,"May 3, 2017"
9,3V,10,Cornell,9.07,"May 3, 2017"
10,3V,11,George Washington,10.67,"May 3, 2017"
11,3V,12,Syracuse,11.00,"May 3, 2017"
12,3V,13,Columbia,12.60,"May 3, 2017"
13,3V,14,Pennsylvania,13.00,"May 3, 2017"
14,3V,15,Georgetown,13.80,"May 3, 2017"
15,3V,16,Rutgers,14.93,"May 3, 2017"
0,4V,1,Harvard,1.00,"May 3, 2017"
1,4V,2,Boston U.,2.33,"May 3, 2017"
2,4V,3,Princeton,2.44,"May 3, 2017"
3,4V,4,Brown,3.78,"May 3, 2017"
4,4V,5,Navy,4.89,"May 3, 2017"
5,4V,6,Dartmouth,5.67,"May 3, 2017"
6,4V,7,Cornell,6.11,"May 3, 2017"
7,4V,8,Yale,6.78,"May 3, 2017"
8,4V,9,Wisconsin,8.00,"May 3, 2017"
9,4V,10,Syracuse,9.00,"May 3, 2017"
0,5V,1,Navy,1.00,"May 3, 2017"
1,5V,2,Brown,1.75,"May 3, 2017"
2,5V,3,Harvard,2.75,"May 3, 2017"
3,5V,4,Wisconsin,3.25,"May 3, 2017"
4,5V,5,Princeton,3.75,"May 3, 2017"
0,1V,1,Yale,1.1,"April 25, 2017"
1,1V,2,Harvard,1.9,"April 25, 2017"
2,1V,3,Princeton,3.1,"April 25, 2017"
3,1V,4,Dartmouth,3.8,"April 25, 2017"
4,1V,5,Northeastern,6.1,"April 25, 2017"
5,1V,6,Syracuse,6.9,"April 25, 2017"
6,1V,7,Pennsylvania,7.3,"April 25, 2017"
7,1V,8,Boston U.,7.5,"April 25, 2017"
8,1V,9,Brown,7.9,"April 25, 2017"
9,1V,10,Wisconsin,9.1,"April 25, 2017"
10,1V,11,Navy,9.4,"April 25, 2017"
11,1V,12,George Washington,10.3,"April 25, 2017"
12,1V,13,Cornell,13.0,"April 25, 2017"
13,1V,14,Columbia,13.1,"April 25, 2017"
14,1V,15,Georgetown,13.3,"April 25, 2017"
15,1V,16,Holy Cross,15.1,"April 25, 2017"
16,1V,17,MIT,16.0,"April 25, 2017"
17,1V,18,Rutgers,17.0,"April 25, 2017"
0,2V,1,Yale,1.2,"April 25, 2017"
1,2V,2,Northeastern,2.2,"April 25, 2017"
2,2V,3,Harvard,3.4,"April 25, 2017"
3,2V,4,Boston U.,3.6,"April 25, 2017"
4,2V,5,Brown,4.4,"April 25, 2017"
5,2V,6,Princeton,5.5,"April 25, 2017"
6,2V,7,Dartmouth,7.0,"April 25, 2017"
7,2V,8,Wisconsin,7.3,"April 25, 2017"
8,2V,9,Navy,8.5,"April 25, 2017"
9,2V,10,Pennsylvania,9.6,"April 25, 2017"
10,2V,11,George Washington,11.0,"April 25, 2017"
11,2V,12,Columbia,11.3,"April 25, 2017"
12,2V,13,Syracuse,12.0,"April 25, 2017"
13,2V,14,Cornell,13.0,"April 25, 2017"
14,2V,15,Georgetown,14.4,"April 25, 2017"
15,2V,16,Holy Cross,14.8,"April 25, 2017"
16,2V,17,MIT,16.0,"April 25, 2017"
17,2V,18,Rutgers,17.0,"April 25, 2017"
0,3V,1,Harvard,1.4,"April 25, 2017"
1,3V,2,Yale,1.6,"April 25, 2017"
2,3V,3,Princeton,2.9,"April 25, 2017"
3,3V,4,Boston U.,3.9,"April 25, 2017"
4,3V,5,Northeastern,5.0,"April 25, 2017"
5,3V,6,Dartmouth,6.3,"April 25, 2017"
6,3V,7,Brown,6.4,"April 25, 2017"
7,3V,8,Navy,6.9,"April 25, 2017"
8,3V,9,Wisconsin,8.6,"April 25, 2017"
9,3V,10,Cornell,9.0,"April 25, 2017"
10,3V,11,George Washington,10.9,"April 25, 2017"
11,3V,12,Syracuse,11.0,"April 25, 2017"
12,3V,13,Columbia,12.2,"April 25, 2017"
13,3V,14,Georgtown,12.9,"April 25, 2017"
14,3V,15,Rutgers,14.0,"April 25, 2017"
0,4V,1,Boston U.,1.3,"April 25, 2017"
1,4V,2,Brown,2.1,"April 25, 2017"
2,4V,3,Harvard,2.7,"April 25, 2017"
3,4V,4,Princeton,3.6,"April 25, 2017"
4,4V,5,Navy,5.4,"April 25, 2017"
5,4V,6,Dartmouth,5.6,"April 25, 2017"
6,4V,7,Cornell,6.1,"April 25, 2017"
7,4V,8,Yale,6.7,"April 25, 2017"
8,4V,9,Wisconsin,7.8,"April 25, 2017"
9,4V,10,Syracuse,9.1,"April 25, 2017"
0,5V,1,Navy,1.0,"April 25, 2017"
1,5V,2,Brown,1.8,"April 25, 2017"
2,5V,3,Harvard,3.0,"April 25, 2017"
3,5V,3,Wisconsin,3.0,"April 25, 2017"
4,5V,5,Princeton,3.8,"April 25, 2017"
0,1V,1,Yale,1.1,"April 18, 2017"
1,1V,2,Harvard,1.9,"April 18, 2017"
2,1V,3,Princeton,2.9,"April 18, 2017"
3,1V,4,Dartmouth,3.8,"April 18, 2017"
4,1V,5,Boston U.,4.8,"April 18, 2017"
5,1V,6,Northeastern,5.8,"April 18, 2017"
6,1V,7,Brown,6.8,"April 18, 2017"
7,1V,8,Pennsylvania,7.9,"April 18, 2017"
8,1V,9,Wisconsin,9.1,"April 18, 2017"
9,1V,10,George Washington,9.8,"April 18, 2017"
10,1V,11,Navy,10.0,"April 18, 2017"
11,1V,12,Syracuse,12.0,"April 18, 2017"
12,1V,13,Georgtown,12.1,"April 18, 2017"
13,1V,14,Columbia,12.5,"April 18, 2017"
14,1V,15,Cornell,13.0,"April 18, 2017"
15,1V,16,Holy Cross,15.2,"April 18, 2017"
16,1V,17,MIT,16.0,"April 18, 2017"
17,1V,18,Rutgers,17.0,"April 18, 2017"
0,2V,1,Yale,1.3,"April 18, 2017"
1,2V,2,Northeastern,2.8,"April 18, 2017"
2,2V,3,Harvard,3.5,"April 18, 2017"
3,2V,4,Boston U.,4.0,"April 18, 2017"
4,2V,5,Brown,4.2,"April 18, 2017"
5,2V,6,Princeton,4.5,"April 18, 2017"
6,2V,7,Dartmouth,7.1,"April 18, 2017"
7,2V,8,Wisconsin,8.0,"April 18, 2017"
8,2V,9,Pennsylvania,8.8,"April 18, 2017"
9,2V,10,Navy,9.8,"April 18, 2017"
10,2V,11,George Washington,10.6,"April 18, 2017"
11,2V,12,Syracuse,11.0,"April 18, 2017"
12,2V,13,Cornell,12.0,"April 18, 2017"
13,2V,14,Columbia,12.4,"April 18, 2017"
14,2V,15,Georgtown,14.1,"April 18, 2017"
15,2V,16,Holy Cross,14.5,"April 18, 2017"
16,2V,17,MIT,16.0,"April 18, 2017"
17,2V,18,Rutgers,17.0,"April 18, 2017"
0,3V,1,Harvard,1.4,"April 18, 2017"
1,3V,2,Yale,2.1,"April 18, 2017"
2,3V,3,Princeton,2.6,"April 18, 2017"
3,3V,4,Boston U.,3.9,"April 18, 2017"
4,3V,5,Brown,5.7,"April 18, 2017"
5,3V,6,Northeastern,5.8,"April 18, 2017"
6,3V,7,Navy,6.9,"April 18, 2017"
7,3V,8,Dartmouth,7.1,"April 18, 2017"
8,3V,9,Wisconsin,8.1,"April 18, 2017"
9,3V,10,Cornell,9.7,"April 18, 2017"
10,3V,11,George Washington,10.0,"April 18, 2017"
11,3V,12,Syracuse,11.0,"April 18, 2017"
12,3V,13,Columbia,11.7,"April 18, 2017"
13,3V,14,Georgtown,12.2,"April 18, 2017"
14,3V,15,Rutgers,14.0,"April 18, 2017"
0,4V,1,Boston U.,1.7,"April 18, 2017"
1,4V,2,Brown,2.2,"April 18, 2017"
2,4V,3,Harvard,2.7,"April 18, 2017"
3,4V,4,Princeton,3.6,"April 18, 2017"
4,4V,5,Yale,4.8,"April 18, 2017"
5,4V,6,Dartmouth,5.3,"April 18, 2017"
6,4V,7,Navy,6.1,"April 18, 2017"
7,4V,8,Wisconsin,6.8,"April 18, 2017"
8,4V,9,Cornell,7.9,"April 18, 2017"
9,4V,10,Syracuse,9.0,"April 18, 2017"
0,5V,1,Navy,1.3,"April 18, 2017"
1,5V,2,Brown,1.5,"April 18, 2017"
2,5V,3,Harvard,2.8,"April 18, 2017"
3,5V,4,Princeton,3.5,"April 18, 2017"
4,5V,4,Wisconsin,3.5,"April 18, 2017"
0,1V,1,YAL,1.00,"May 10, 2016"
1,1V,2,PRI,2.00,"May 10, 2016"
2,1V,3,HAR,2.93,"May 10, 2016"
3,1V,4,BRO,3.90,"May 10, 2016"
4,1V,5,BOS,5.07,"May 10, 2016"
5,1V,6,COR,5.87,"May 10, 2016"
6,1V,7,NOR,6.07,"May 10, 2016"
7,1V,8,SYR,7.73,"May 10, 2016"
8,1V,9,DAR,8.87,"May 10, 2016"
9,1V,10,WIS,9.53,"May 10, 2016"
10,1V,11,PEN,10.27,"May 10, 2016"
11,1V,12,COL,11.20,"May 10, 2016"
12,1V,13,NAV,12.10,"May 10, 2016"
13,1V,14,GWU,13.20,"May 10, 2016"
14,1V,15,GEO,14.60,"May 10, 2016"
15,1V,16,MIT,14.87,"May 10, 2016"
16,1V,17,HOL,15.80,"May 10, 2016"
17,1V,18,RUT,17.00,"May 10, 2016"
18,1V,,,,"May 10, 2016"
19,1V,Rank,3V,Points,"May 10, 2016"
20,1V,1,PRI,1.00,"May 10, 2016"
21,1V,2,BRO,2.08,"May 10, 2016"
22,1V,3,HAR,3.08,"May 10, 2016"
23,1V,4,BOS,3.69,"May 10, 2016"
24,1V,5,COR,4.62,"May 10, 2016"
25,1V,6,YAL,6.00,"May 10, 2016"
26,1V,7,WIS,6.92,"May 10, 2016"
27,1V,8,DAR,6.92,"May 10, 2016"
28,1V,9,SYR,8.46,"May 10, 2016"
29,1V,10,GWU,9.85,"May 10, 2016"
30,1V,11,NAV,10.38,"May 10, 2016"
31,1V,12,PEN,10.67,"May 10, 2016"
32,1V,13,GEO,12.46,"May 10, 2016"
33,1V,14,COL,12.92,"May 10, 2016"
34,1V,15,RUT,14.46,"May 10, 2016"
35,1V,16,HOL,14.60,"May 10, 2016"
36,1V,,,,"May 10, 2016"
37,1V,,,,"May 10, 2016"
38,1V,,,,"May 10, 2016"
0,1V,1,YAL,1,"April 28, 2016"
1,1V,2,PRI,2,"April 28, 2016"
2,1V,3,HAR,2.9,"April 28, 2016"
3,1V,4,BRO,3.8,"April 28, 2016"
4,1V,5,BOS,5,"April 28, 2016"
5,1V,6,NOR,6.1,"April 28, 2016"
6,1V,7,COR,6.2,"April 28, 2016"
7,1V,8,SYR,7.8,"April 28, 2016"
8,1V,9,DAR,8.8,"April 28, 2016"
9,1V,9,PEN,8.8,"April 28, 2016"
10,1V,11,NAV,11,"April 28, 2016"
11,1V,11,WIS,11,"April 28, 2016"
12,1V,13,GWU,12.59,"April 28, 2016"
13,1V,14,COL,12.71,"April 28, 2016"
14,1V,15,GEO,14.39,"April 28, 2016"
15,1V,16,MIT,15,"April 28, 2016"
16,1V,17,HOL,15.6,"April 28, 2016"
17,1V,18,RUT,17,"April 28, 2016"
18,1V,,,,"April 28, 2016"
19,1V,Rank,3V,Points,"April 28, 2016"
20,1V,1,PRI,1.1,"April 28, 2016"
21,1V,2,BRO,2.1,"April 28, 2016"
22,1V,3,HAR,3.6,"April 28, 2016"
23,1V,4,BOS,4.1,"April 28, 2016"
24,1V,5,COR,4.4,"April 28, 2016"
25,1V,6,YAL,5.6,"April 28, 2016"
26,1V,7,DAR,6.3,"April 28, 2016"
27,1V,8,WIS,7.3,"April 28, 2016"
28,1V,9,SYR,8.9,"April 28, 2016"
29,1V,10,NAV,9.1,"April 28, 2016"
30,1V,11,PEN,9.9,"April 28, 2016"
31,1V,12,GWU,11.27,"April 28, 2016"
32,1V,13,GEO,12.33,"April 28, 2016"
33,1V,14,COL,13.07,"April 28, 2016"
34,1V,15,RUT,14,"April 28, 2016"
35,1V,16,HOL,14.6,"April 28, 2016"
36,1V,,,,"April 28, 2016"
0,1V,1,YAL,1,"April 21, 2016"
1,1V,2,PRI,1.94,"April 21, 2016"
2,1V,3,HAR,2.9,"April 21, 2016"
3,1V,4,BRO,3.8,"April 21, 2016"
4,1V,5,BOS,4.9,"April 21, 2016"
5,1V,6,NOR,6.1,"April 21, 2016"
6,1V,7,COR,6.6,"April 21, 2016"
7,1V,8,DAR,7.1,"April 21, 2016"
8,1V,9,SYR,8.6,"April 21, 2016"
9,1V,10,NAV,10,"April 21, 2016"
10,1V,11,PEN,10.3,"April 21, 2016"
11,1V,12,WIS,11,"April 21, 2016"
12,1V,13,COL,12.41,"April 21, 2016"
13,1V,14,GWU,12.53,"April 21, 2016"
14,1V,15,GEO,14.59,"April 21, 2016"
15,1V,16,MIT,15,"April 21, 2016"
16,1V,17,HOL,15.7,"April 21, 2016"
17,1V,18,RUT,17,"April 21, 2016"
18,1V,,,,"April 21, 2016"
19,1V,Rank,3V,Points,"April 21, 2016"
20,1V,1,PRI,1.3,"April 21, 2016"
21,1V,2,BRO,2.2,"April 21, 2016"
22,1V,3,HAR,3.5,"April 21, 2016"
23,1V,4,YAL,3.9,"April 21, 2016"
24,1V,5,BOS,4,"April 21, 2016"
25,1V,6,COR,6.5,"April 21, 2016"
26,1V,6,DAR,6.5,"April 21, 2016"
27,1V,8,WIS,6.6,"April 21, 2016"
28,1V,9,PEN,9.13,"April 21, 2016"
29,1V,10,SYR,9.2,"April 21, 2016"
30,1V,11,NAV,9.9,"April 21, 2016"
31,1V,12,GWU,11.47,"April 21, 2016"
32,1V,13,GEO,12.2,"April 21, 2016"
33,1V,14,COL,13.13,"April 21, 2016"
34,1V,15,RUT,14,"April 21, 2016"
35,1V,16,HOL,14.3,"April 21, 2016"
36,1V,,,,"April 21, 2016"
0,1V,1,YAL,1.00,"May 13, 2015"
1,1V,2,PRI,2.00,"May 13, 2015"
2,1V,3,HAR,3.07,"May 13, 2015"
3,1V,4,BOS,4.20,"May 13, 2015"
4,1V,5,NOR,4.93,"May 13, 2015"
5,1V,6,BRO,5.80,"May 13, 2015"
6,1V,7,NAV,6.67,"May 13, 2015"
7,1V,8,COR,6.87,"May 13, 2015"
8,1V,9,PEN,8.47,"May 13, 2015"
9,1V,10,DAR,9.53,"May 13, 2015"
10,1V,11,WIS,10.33,"May 13, 2015"
11,1V,12,SYR,11.40,"May 13, 2015"
12,1V,13,COL,12.27,"May 13, 2015"
13,1V,14,HOL,13.33,"May 13, 2015"
14,1V,15,MIT,14.33,"May 13, 2015"
15,1V,16,GEO,15.27,"May 13, 2015"
16,1V,17,GWU,15.67,"May 13, 2015"
17,1V,18,RUT,17.00,"May 13, 2015"
18,1V,,,,"May 13, 2015"
19,1V,Rank,3V,Points,"May 13, 2015"
20,1V,1,COR,1.00,"May 13, 2015"
21,1V,2,PRI,1.93,"May 13, 2015"
22,1V,3,BOS,3.43,"May 13, 2015"
23,1V,4,HAR,3.86,"May 13, 2015"
24,1V,5,NOR,5.36,"May 13, 2015"
25,1V,6,WIS,5.64,"May 13, 2015"
26,1V,7,YAL,6.36,"May 13, 2015"
27,1V,8,NAV,7.50,"May 13, 2015"
28,1V,9,BRO,7.93,"May 13, 2015"
29,1V,10,DAR,9.14,"May 13, 2015"
30,1V,11,PEN,10.50,"May 13, 2015"
31,1V,12,SYR,11.14,"May 13, 2015"
32,1V,13,COL,12.57,"May 13, 2015"
33,1V,14,GWU,12.86,"May 13, 2015"
34,1V,15,HOL,14.07,"May 13, 2015"
35,1V,16,GEO,15.00,"May 13, 2015"
36,1V,17,RUT,16.00,"May 13, 2015"
37,1V,,,,"May 13, 2015"
38,1V,Rank,1F,Points,"May 13, 2015"
39,1V,1,HAR,1.00,"May 13, 2015"
40,1V,2,WIS,1.75,"May 13, 2015"
41,1V,3,COR,2.50,"May 13, 2015"
42,1V,4,PEN,3.25,"May 13, 2015"
43,1V,5,NAV,4.00,"May 13, 2015"
0,1V,1,YAL,1,"May 7, 2015"
1,1V,2,PRI,1.9,"May 7, 2015"
2,1V,3,HAR,3,"May 7, 2015"
3,1V,4,BOS,4.4,"May 7, 2015"
4,1V,5,NOR,5.1,"May 7, 2015"
5,1V,6,BRO,5.8,"May 7, 2015"
6,1V,7,NAV,6.65,"May 7, 2015"
7,1V,8,COR,6.76,"May 7, 2015"
8,1V,9,PEN,8.2,"May 7, 2015"
9,1V,10,DAR,9.6,"May 7, 2015"
10,1V,11,WIS,10.3,"May 7, 2015"
11,1V,12,SYR,11,"May 7, 2015"
12,1V,13,COL,12.3,"May 7, 2015"
13,1V,14,HOL,13.3,"May 7, 2015"
14,1V,15,MIT,14,"May 7, 2015"
15,1V,16,GEO,15.2,"May 7, 2015"
16,1V,17,GWU,15.7,"May 7, 2015"
17,1V,18,RUT,17,"May 7, 2015"
18,1V,,,,"May 7, 2015"
19,1V,Rank,3V,Points,"May 7, 2015"
20,1V,1,COR,1.1,"May 7, 2015"
21,1V,2,PRI,1.9,"May 7, 2015"
22,1V,3,BOS,3.5,"May 7, 2015"
23,1V,4,HAR,3.9,"May 7, 2015"
24,1V,5,NOR,5.6,"May 7, 2015"
25,1V,6,WIS,6.19,"May 7, 2015"
26,1V,7,YAL,6.25,"May 7, 2015"
27,1V,8,NAV,7.2,"May 7, 2015"
28,1V,9,BRO,7.8,"May 7, 2015"
29,1V,10,DAR,9.1,"May 7, 2015"
30,1V,11,PEN,10.3,"May 7, 2015"
31,1V,12,SYR,11,"May 7, 2015"
32,1V,13,COL,12.7,"May 7, 2015"
33,1V,14,GWU,12.9,"May 7, 2015"
34,1V,15,HOL,14.1,"May 7, 2015"
35,1V,16,GEO,14.9,"May 7, 2015"
36,1V,17,RUT,16,"May 7, 2015"
37,1V,,,,"May 7, 2015"
38,1V,Rank,1F,Points,"May 7, 2015"
39,1V,1,HAR,1,"May 7, 2015"
40,1V,2,WIS,1.75,"May 7, 2015"
41,1V,3,COR,2.5,"May 7, 2015"
42,1V,4,PEN,3.25,"May 7, 2015"
43,1V,5,NAV,4,"May 7, 2015"
0,1V,1,YAL,1,"April 30, 2015"
1,1V,2,PRI,2,"April 30, 2015"
2,1V,3,HAR,2.9,"April 30, 2015"
3,1V,4,BOS,4.2,"April 30, 2015"
4,1V,5,NOR,5.3,"April 30, 2015"
5,1V,6,NAV,6.2,"April 30, 2015"
6,1V,7,COR,6.59,"April 30, 2015"
7,1V,8,BRO,7.1,"April 30, 2015"
8,1V,9,PEN,7.9,"April 30, 2015"
9,1V,10,DAR,9.3,"April 30, 2015"
10,1V,11,WIS,10.5,"April 30, 2015"
11,1V,12,SYR,12,"April 30, 2015"
12,1V,13,COL,12.12,"April 30, 2015"
13,1V,14,GEO,13.76,"April 30, 2015"
14,1V,15,HOL,13.8,"April 30, 2015"
15,1V,16,GWU,14.9,"April 30, 2015"
16,1V,17,MIT,16,"April 30, 2015"
17,1V,18,RUT,17,"April 30, 2015"
18,1V,,,,"April 30, 2015"
19,1V,Rank,3V,Points,"April 30, 2015"
20,1V,1,COR,2.19,"April 30, 2015"
21,1V,2,PRI,2.25,"April 30, 2015"
22,1V,3,NOR,2.9,"April 30, 2015"
23,1V,4,BOS,3.9,"April 30, 2015"
24,1V,5,HAR,4,"April 30, 2015"
25,1V,6,YAL,5.8,"April 30, 2015"
26,1V,7,NAV,6.8,"April 30, 2015"
27,1V,8,BRO,7.7,"April 30, 2015"
28,1V,9,PEN,8.2,"April 30, 2015"
29,1V,10,DAR,9.6,"April 30, 2015"
30,1V,11,WIS,10.1,"April 30, 2015"
31,1V,12,SYR,11,"April 30, 2015"
32,1V,13,COL,12.5,"April 30, 2015"
33,1V,14,GWU,12.9,"April 30, 2015"
34,1V,15,HOL,14.2,"April 30, 2015"
35,1V,16,GEO,14.7,"April 30, 2015"
36,1V,17,RUT,16,"April 30, 2015"
37,1V,,,,"April 30, 2015"
38,1V,Rank,1F,Points,"April 30, 2015"
39,1V,1,HAR,1,"April 30, 2015"
40,1V,2,BRO,2.8,"April 30, 2015"
41,1V,2,WIS,2.8,"April 30, 2015"
42,1V,4,COR,3.2,"April 30, 2015"
43,1V,5,PEN,3.4,"April 30, 2015"
44,1V,6,NAV,4.8,"April 30, 2015"
0,1V,1,PRI,1.0,"April 24, 2015"
1,1V,2,HAR,2.4,"April 24, 2015"
2,1V,3,YAL,2.5,"April 24, 2015"
3,1V,4,BOS,4.5,"April 24, 2015"
4,1V,5,PEN,5.2,"April 24, 2015"
5,1V,6,NOR,5.3,"April 24, 2015"
6,1V,7,BRO,6.4,"April 24, 2015"
7,1V,8,COR,7.1,"April 24, 2015"
8,1V,9,NAV,8.7,"April 24, 2015"
9,1V,10,DAR,9.8,"April 24, 2015"
10,1V,11,WIS,10.3,"April 24, 2015"
11,1V,12,COL,11.3,"April 24, 2015"
12,1V,13,SYR,12.1,"April 24, 2015"
13,1V,14,GWU,13.8,"April 24, 2015"
14,1V,15,HOL,14.0,"April 24, 2015"
15,1V,16,GEO,14.9,"April 24, 2015"
16,1V,17,MIT,15.8,"April 24, 2015"
17,1V,18,RUT,16.9,"April 24, 2015"
18,1V,,,,"April 24, 2015"
19,1V,Rank,Third Varsity Eight,Points,"April 24, 2015"
20,1V,1,PRI,1.4,"April 24, 2015"
21,1V,2,NOR,2.5,"April 24, 2015"
22,1V,3,BOS,3.9,"April 24, 2015"
23,1V,4,COR,4.3,"April 24, 2015"
24,1V,5,HAR,4.9,"April 24, 2015"
25,1V,6,YAL,5.8,"April 24, 2015"
26,1V,7,PEN,6.3,"April 24, 2015"
27,1V,8,NAV,7.6,"April 24, 2015"
28,1V,9,DAR,8.9,"April 24, 2015"
29,1V,10,BRO,9.1,"April 24, 2015"
30,1V,11,WIS,10,"April 24, 2015"
31,1V,12,SYR,11,"April 24, 2015"
32,1V,13,COL,12.6,"April 24, 2015"
33,1V,14,GWU,12.9,"April 24, 2015"
34,1V,15,HOL,13.3,"April 24, 2015"
35,1V,16,GEO,14,"April 24, 2015"
36,1V,17,RUT,16,"April 24, 2015"
37,1V,,,,"April 24, 2015"
38,1V,Rank,First Freshman Eight,Points,"April 24, 2015"
39,1V,1,HAR,1.00,"April 24, 2015"
40,1V,2,WIS,2.6,"April 24, 2015"
41,1V,3,BRO,2.80,"April 24, 2015"
42,1V,4,PEN,3.20,"April 24, 2015"
43,1V,5,COR,3.40,"April 24, 2015"
44,1V,6,NAV,5.00,"April 24, 2015"
0,1V,1,YAL,1.44,"May 13, 2014"
1,1V,2,HAR,1.5,"May 13, 2014"
2,1V,3,PRI,2.87,"May 13, 2014"
3,1V,4,BRO,3.87,"May 13, 2014"
4,1V,5,COR,5.27,"May 13, 2014"
5,1V,6,NAV,5.93,"May 13, 2014"
6,1V,7,NOR,6.33,"May 13, 2014"
7,1V,8,BOS,7.06,"May 13, 2014"
8,1V,9,COL,8.47,"May 13, 2014"
9,1V,10,PEN,9.67,"May 13, 2014"
10,1V,11,WIS,10.9,"May 13, 2014"
11,1V,12,DAR,11.6,"May 13, 2014"
12,1V,13,GWU,12.1,"May 13, 2014"
13,1V,14,SYR,12.8,"May 13, 2014"
14,1V,15,HOL,14.3,"May 13, 2014"
15,1V,16,MIT,15.4,"May 13, 2014"
16,1V,17,RUT,15.7,"May 13, 2014"
17,1V,18,GEO,16.8,"May 13, 2014"
18,1V,,,,"May 13, 2014"
19,1V,Rank,3rd Varsity,Points,"May 13, 2014"
20,1V,1,BRO,1.08,"May 13, 2014"
21,1V,2,BOS,1.83,"May 13, 2014"
22,1V,3,NAV,2.83,"May 13, 2014"
23,1V,4,PRI,4.54,"May 13, 2014"
24,1V,5,NOR,5.25,"May 13, 2014"
25,1V,6,COR,5.33,"May 13, 2014"
26,1V,7,YAL,7.33,"May 13, 2014"
27,1V,8,DAR,7.67,"May 13, 2014"
28,1V,9,SYR,8.33,"May 13, 2014"
29,1V,10,WIS,8.75,"May 13, 2014"
30,1V,11,HAR,10.1,"May 13, 2014"
31,1V,12,PEN,10.80,"May 13, 2014"
32,1V,13,COL,11.5,"May 13, 2014"
33,1V,14,HOL,13,"May 13, 2014"
34,1V,15,RUT,,"May 13, 2014"
35,1V,*RUT will not race a 3V at sprints,,2,"May 13, 2014"
36,1V,,,,"May 13, 2014"
37,1V,Rank,2nd Freshmen,Points,"May 13, 2014"
38,1V,1,WIS,1.00,"May 13, 2014"
39,1V,2,NAV,1.50,"May 13, 2014"
40,1V,3,PEN,2.00,"May 13, 2014"
41,1V,4,HAR,,"May 13, 2014"
42,1V,*HAR will not race a 2F at sprints.,,,"May 13, 2014"
0,1V,1,YAL,1.44,"May 9, 2014"
1,1V,2,HAR,1.5,"May 9, 2014"
2,1V,3,PRI,2.88,"May 9, 2014"
3,1V,4,BRO,3.88,"May 9, 2014"
4,1V,5,COR,5.19,"May 9, 2014"
5,1V,6,NAV,5.94,"May 9, 2014"
6,1V,7,NOR,6.31,"May 9, 2014"
7,1V,8,BOS,7.24,"May 9, 2014"
8,1V,9,COL,8.5,"May 9, 2014"
9,1V,10,PEN,9.75,"May 9, 2014"
10,1V,11,WIS,11.1,"May 9, 2014"
11,1V,12,SYR,11.5,"May 9, 2014"
12,1V,13,GWU,11.8,"May 9, 2014"
13,1V,14,DAR,12.8,"May 9, 2014"
14,1V,15,HOL,14.4,"May 9, 2014"
15,1V,16,MIT,15.4,"May 9, 2014"
16,1V,17,RUT,15.8,"May 9, 2014"
17,1V,18,GEO,16.7,"May 9, 2014"
18,1V,,,,"May 9, 2014"
19,1V,Rank,3rd Varsity,Points,"May 9, 2014"
20,1V,1,BRO,1.15,"May 9, 2014"
21,1V,2,BOS,1.77,"May 9, 2014"
22,1V,3,NAV,2.92,"May 9, 2014"
23,1V,4,SYR,4,"May 9, 2014"
24,1V,5,PRI,4.92,"May 9, 2014"
25,1V,6,NOR,6,"May 9, 2014"
26,1V,7,COR,6.15,"May 9, 2014"
27,1V,8,YAL,7.38,"May 9, 2014"
28,1V,9,WIS,8.15,"May 9, 2014"
29,1V,10,HAR,9.38,"May 9, 2014"
30,1V,11,PEN,10.70,"May 9, 2014"
31,1V,12,COL,10.9,"May 9, 2014"
32,1V,13,DAR,11.6,"May 9, 2014"
33,1V,14,HOL,13,"May 9, 2014"
34,1V,15,RUT*,14,"May 9, 2014"
35,1V,*RUT will not race a 3V at sprints,,2,"May 9, 2014"
36,1V,,,,"May 9, 2014"
37,1V,Rank,2nd Freshmen,Points,"May 9, 2014"
38,1V,1,WIS,1.00,"May 9, 2014"
39,1V,2,NAV,1.67,"May 9, 2014"
40,1V,3,PEN,2.33,"May 9, 2014"
41,1V,4,HAR*,3.00,"May 9, 2014"
0,1V,1,HAR,1.44,"May 2, 2014"
1,1V,2,YAL,1.5,"May 2, 2014"
2,1V,3,PRI,2.88,"May 2, 2014"
3,1V,4,BRO,3.88,"May 2, 2014"
4,1V,5,COR,5.44,"May 2, 2014"
5,1V,6,NAV,5.94,"May 2, 2014"
6,1V,7,NOR,6,"May 2, 2014"
7,1V,8,BOS,7.24,"May 2, 2014"
8,1V,9,COL,8.88,"May 2, 2014"
9,1V,10,PEN,9.94,"May 2, 2014"
10,1V,11,WIS,10.3,"May 2, 2014"
11,1V,12,SYR,11.6,"May 2, 2014"
12,1V,13,GWU,12.3,"May 2, 2014"
13,1V,14,DAR,12.5,"May 2, 2014"
14,1V,15,HOL,14.8,"May 2, 2014"
15,1V,16,MIT,15.3,"May 2, 2014"
16,1V,17,RUT,15.8,"May 2, 2014"
17,1V,18,GEO,16.5,"May 2, 2014"
18,1V,,,,"May 2, 2014"
19,1V,Rank,3rd Varsity,Points,"May 2, 2014"
20,1V,1,BRO,1.21,"May 2, 2014"
21,1V,2,BOS,1.79,"May 2, 2014"
22,1V,3,NAV,2.79,"May 2, 2014"
23,1V,4,SYR,4.21,"May 2, 2014"
24,1V,5,PRI,5.64,"May 2, 2014"
25,1V,6,COR,6.21,"May 2, 2014"
